relative_path,byte_size,sha256,modified_timestamp_utc,language_or_type,classification,classification_reason,nearest_tracked_source,nearest_tracked_source_commit,nearest_tracked_source_blob,generated_evidence,matching_tracked_entries,matching_other_paths,git_ignored,gitignore_evidence,candidate_relation,candidate_blob,activation_outcome,preservation_recommendation
apps/desktop/src/app/agents/index.js,12828,fd0014cf939fc7da015babe4f67ca70c6f68021bf78a5870c988976c0682347d,2026-07-10T02:37:38.834702+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/agents/index.tsx,980553ea303feb6d904234a58fbfca96e17c1382,fe392e84610cc997500ce5d98f8804b551a13ad7,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/artifacts/artifact-utils.js,6947,0d2ee7fb372cf6ac3384417cd14aaf911503425d65d9d4416bbc37c681b5e7c7,2026-07-10T02:37:38.837207+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/artifacts/artifact-utils.ts,980553ea303feb6d904234a58fbfca96e17c1382,730ec0e001649c81a8985b9767c1ecea42d970c3,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/artifacts/index.js,20168,a0de626a2d2ca590032f16652bcc2bb192d258cc3aa791702f0b7461be96a9a5,2026-07-10T02:37:38.841207+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/artifacts/index.tsx,980553ea303feb6d904234a58fbfca96e17c1382,70a6a0338ca3f8b989bb66cfe70647cf16a88e47,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/artifacts/index.test.js,3002,34c16688ccbfcf6ca30f5a0d6b7fad5be202bb9093fbe1afdbc15ca2d3b5363c,2026-07-10T02:37:38.969938+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/artifacts/index.test.ts,980553ea303feb6d904234a58fbfca96e17c1382,cd98db3243ad0b977da3a2f9382c3b8f2988c148,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/chat/chat-drop-overlay.js,1923,819fd7f624ff664f66b5486094f66a917be0617e7943940a251190159ebd25d3,2026-07-10T02:37:38.549347+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/chat/chat-drop-overlay.tsx,980553ea303feb6d904234a58fbfca96e17c1382,ff01687aaccb9cdd65ca2dee73536385b31fba35,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/chat/chat-swap-overlay.js,1625,62e44519e1ffcd7c35295385693c330ef9c1045795c32df27fc781f40fd500fd,2026-07-10T02:37:38.550347+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/chat/chat-swap-overlay.tsx,980553ea303feb6d904234a58fbfca96e17c1382,9715dbc450e3d0a0f0f3fde12a0acc38e8463861,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/chat/composer/attachments.js,5220,766bbc2c50d01b63429dc9d3949a6a9d59edbdd5d72d86b13b943f61aa38cf69,2026-07-10T02:37:38.555851+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/chat/composer/attachments.tsx,980553ea303feb6d904234a58fbfca96e17c1382,5b35343640455db9d60e47a6df1fc9372179c125,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/chat/composer/attachments.test.js,2311,ca4acb19868d1aa7b7d82a089577a291859e61317bdd58619fee478b54398cd1,2026-07-10T02:37:38.971938+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/chat/composer/attachments.test.tsx,980553ea303feb6d904234a58fbfca96e17c1382,0ea85811315f06b69da1df3eff1511f7398e8307,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/chat/composer/completion-drawer.js,1340,f4ff9ca540ca48a6ead1263bf3fad9fada90d4002f025407133d781bb68cca16,2026-07-10T02:37:38.509222+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/chat/composer/completion-drawer.tsx,980553ea303feb6d904234a58fbfca96e17c1382,1f07c235bfdba77c259b52111745872e6314efdb,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
apps/desktop/src/app/chat/composer/composer-text-guard.test.js,2413,300e8755af8f077f1dae49efea0924ccf3727219226395416ee7c4f91024f286,2026-07-10T02:37:38.972938+00:00,application/javascript,B,TypeScript compiler output: .js file has a same-stem tracked .ts/.tsx source in the candidate; desktop build runs `tsc -b`; all 694 outputs share one 2026-07-09 20:37 timestamp minute,apps/desktop/src/app/chat/composer/composer-text-guard.test.tsx,980553ea303feb6d904234a58fbfca96e17c1382,6c598c5a8faa2b518b1f584a7b9c56494ec54a82,"{""build_command"":""apps/desktop/package.json scripts.build includes `tsc -b`"",""typescript_config"":""apps/desktop/tsconfig.json includes src and ../shared/src, lacks noEmit/outDir, jsx=react-jsx"",""pattern"":""all 694 are .js and every file has a same-stem tracked .ts/.tsx candidate source"",""timestamp_cluster"":""all modified during 2026-07-09 20:37 local minute"",""representative_transform"":""attachments.tsx types/JSX compile to attachments.js with react/jsx-runtime imports"",""ignore_note"":""these in-place src .js emissions are not ignored; dist/, release/, build/, node_modules/ are ignored separately""}",[],[],False,,generated_sibling_of_tracked_typescript_source; exact .js path absent,,left_untracked_untouched_by_candidate_fast_forward,Archive first; remove only after explicit authorization; regenerate with the desktop TypeScript build if needed.
